iter	Logloss
0	0.4030175476
1	0.2679598694
2	0.182251358
3	0.137653595
4	0.1063008652
5	0.08552861786
6	0.07393759918
7	0.06445991516
8	0.05858654022
9	0.0537091217
10	0.04972048187
11	0.04645053864
12	0.04373718262
13	0.04052611542
14	0.03875884247
15	0.03644068527
16	0.0339495697
17	0.0320613327
18	0.03016285133
19	0.02901820946
20	0.02724039078
21	0.0259913826
22	0.0248717308
23	0.02357720375
24	0.02242414856
25	0.02152832222
26	0.02044992828
27	0.01978144836
28	0.01910342789
29	0.01810997772
30	0.01756149673
31	0.01666033363
32	0.01630522156
33	0.01571510887
34	0.01501185417
35	0.01455128098
36	0.01376011848
37	0.01351985741
38	0.01308685493
39	0.01275470543
40	0.0123589983
41	0.01198442268
42	0.01164027023
43	0.01127946377
44	0.01113623905
45	0.01083480453
46	0.01061382866
47	0.01039897728
48	0.01008085251
49	0.01002210808
